client_id,company_size,industry,location
4280387012,Large,Fintech,New York
2095513148,Small,Fintech,New Jersey
7225516707,Medium,Fintech,Pennsylvania
8093537819,Large,Crypto,New York
4387541014,Medium,E-commerce,Massachusetts
5698091148,Large,Crypto,Massachusetts
8884551090,Large,AI,Connecticut
9598980006,Medium,AI,Pennsylvania
7207890733,Large,Crypto,Connecticut
5059906722,Small,AI,Massachusetts
9166568761,Small,Fintech,Connecticut
1131383004,Large,Fintech,Massachusetts
9699223737,Small,Crypto,New York
3325348894,Small,E-commerce,Massachusetts
9714663815,Small,AI,Pennsylvania
6296057401,Small,Fintech,New Jersey
5387264885,Small,Crypto,Pennsylvania
3758633299,Large,Gaming,Massachusetts
8988409533,Small,E-commerce,New York
3878940490,Medium,E-commerce,Massachusetts
6597925149,Medium,AI,Connecticut
9085185732,Large,Crypto,New York
7465144773,Large,Crypto,New York
5443254615,Medium,Gaming,Pennsylvania
8719792472,Medium,E-commerce,Connecticut
6038028440,Medium,Gaming,New Jersey
2609337231,Medium,Crypto,Connecticut
3183675157,Small,Gaming,New Jersey
4343385571,Medium,Gaming,New Jersey
6983985081,Small,Crypto,Pennsylvania
5421990790,Large,Fintech,Pennsylvania
5481743788,Large,Crypto,Massachusetts
1731644238,Medium,Fintech,Connecticut
3157098196,Small,AI,Massachusetts
5217987067,Large,Fintech,New Jersey
4309371709,Large,E-commerce,Connecticut
6292156167,Small,Crypto,New York
7501599785,Medium,Gaming,New Jersey
7776577102,Small,AI,Massachusetts
5319487809,Medium,Crypto,New York
4475229416,Small,Fintech,New Jersey
3411013676,Medium,Crypto,Connecticut
5536015034,Small,Gaming,Pennsylvania
9031632460,Small,Crypto,Connecticut
7462725203,Medium,E-commerce,Massachusetts
6827368515,Small,Crypto,New Jersey
2486393352,Large,Gaming,New Jersey
7925430606,Large,Crypto,Pennsylvania
3510240337,Medium,Fintech,Massachusetts
4698004907,Small,E-commerce,Massachusetts
2096479553,Large,E-commerce,New Jersey
3891000577,Large,E-commerce,Massachusetts
5366653014,Small,E-commerce,Pennsylvania
8540187780,Large,Fintech,Connecticut
6366816003,Small,Gaming,Connecticut
3683504527,Medium,Gaming,Pennsylvania
6774252233,Medium,Fintech,New Jersey
1298566280,Medium,Gaming,New York
5980553707,Large,AI,New York
8351222782,Large,Fintech,Connecticut
6677954339,Small,Crypto,Pennsylvania
3034831019,Medium,E-commerce,New Jersey
5396477027,Medium,Fintech,Connecticut
6955217420,Small,Fintech,New Jersey
6102589964,Small,Fintech,Pennsylvania
5762095219,Medium,Fintech,Pennsylvania
7896208406,Small,Crypto,Pennsylvania
1089413096,Large,Crypto,Connecticut
5371694837,Large,AI,Pennsylvania
1629048404,Small,AI,New Jersey
5983139564,Small,Gaming,Massachusetts
8207710174,Medium,Fintech,Connecticut
7513745319,Small,E-commerce,New York
3785313879,Small,Crypto,New York
8004867726,Small,Fintech,Connecticut
9842414729,Small,E-commerce,Connecticut
2282502805,Large,Gaming,Connecticut
5157113076,Medium,Gaming,Massachusetts
4760390973,Small,Gaming,New Jersey
2315920532,Small,Gaming,New Jersey
4687291312,Medium,Crypto,Pennsylvania
9329180414,Small,Crypto,Massachusetts
4194777577,Large,Fintech,New Jersey
2083869816,Small,E-commerce,Connecticut
9626357024,Small,E-commerce,New York
9752784850,Large,Crypto,Massachusetts
4519356806,Small,Gaming,Massachusetts
7744303708,Medium,Gaming,Pennsylvania
3185596104,Medium,Gaming,Massachusetts
2623363792,Large,E-commerce,Connecticut
2490056820,Medium,Fintech,New Jersey
6128700542,Large,Crypto,Connecticut
8155233099,Medium,E-commerce,New York
3146624321,Large,E-commerce,Connecticut
9038553168,Medium,Gaming,New York
9159056053,Medium,Gaming,Pennsylvania
1077708772,Small,Crypto,New York
4361672518,Small,AI,Pennsylvania
6751372012,Large,E-commerce,New York
6209923307,Medium,Gaming,New Jersey
