client_id,payment_date,amount_paid,payment_method
6292156167,2019-09-16,447.0,Bank Transfer
7462725203,2018-05-21,379.7,Bank Transfer
4698004907,2021-09-11,435.1,Check
3510240337,2020-12-07,413.1,Check
7501599785,2019-03-04,61.1,Bank Transfer
8719792472,2018-02-10,73.8,Credit Card
3325348894,2019-07-09,348.1,Credit Card
9031632460,2019-07-06,222.9,Check
5319487809,2019-03-02,90.7,Bank Transfer
4280387012,2022-11-25,77.1,Check
3891000577,2020-08-16,241.2,Bank Transfer
5396477027,2021-02-13,494.6,Check
1089413096,2019-04-21,453.6,Credit Card
5536015034,2019-11-15,65.4,Credit Card
7513745319,2020-09-17,284.5,Credit Card
3878940490,2018-05-23,489.4,Bank Transfer
6128700542,2019-10-11,490.7,Check
3183675157,2021-12-25,261.1,Bank Transfer
2486393352,2021-12-02,108.5,Bank Transfer
3683504527,2018-04-12,202.4,Check
4343385571,2018-11-28,216.6,Check
5421990790,2018-07-10,68.1,Check
9626357024,2022-09-25,275.5,Check
4387541014,2018-11-08,322.4,Bank Transfer
2095513148,2021-11-03,470.8,Check
7207890733,2020-09-19,209.0,Bank Transfer
2282502805,2021-06-04,69.6,Credit Card
6102589964,2019-12-30,425.7,Credit Card
4687291312,2019-06-14,184.2,Bank Transfer
2609337231,2020-11-04,415.9,Check
9329180414,2021-06-03,208.7,Credit Card
4361672518,2019-01-24,466.4,Bank Transfer
4475229416,2019-05-01,410.2,Check
2315920532,2019-04-01,191.1,Bank Transfer
5762095219,2021-06-02,365.6,Check
6774252233,2018-12-12,402.6,Bank Transfer
8540187780,2021-02-16,300.7,Bank Transfer
2623363792,2021-06-28,197.4,Bank Transfer
3411013676,2022-12-20,88.6,Check
5983139564,2020-03-29,120.7,Bank Transfer
2083869816,2019-05-16,386.8,Credit Card
3185596104,2022-11-14,196.5,Bank Transfer
7776577102,2020-12-17,286.0,Credit Card
9166568761,2020-08-14,139.7,Credit Card
4309371709,2021-05-24,368.4,Check
6955217420,2019-07-07,373.7,Bank Transfer
3034831019,2022-07-28,251.9,Check
9714663815,2020-11-11,371.1,Credit Card
8093537819,2019-09-14,207.3,Credit Card
5387264885,2022-03-06,374.5,Credit Card
7896208406,2022-02-24,291.0,Credit Card
7925430606,2022-08-29,407.6,Bank Transfer
9699223737,2018-04-03,240.9,Bank Transfer
9038553168,2019-05-24,467.4,Check
5481743788,2020-04-03,289.2,Credit Card
5059906722,2018-12-14,235.7,Bank Transfer
4194777577,2021-12-18,196.4,Bank Transfer
8207710174,2018-12-19,216.7,Check
1731644238,2021-07-26,249.5,Bank Transfer
6751372012,2018-05-29,465.0,Bank Transfer
6366816003,2022-02-17,198.5,Credit Card
5366653014,2020-11-13,160.4,Check
8884551090,2022-09-02,285.0,Check
1077708772,2019-07-06,417.0,Credit Card
2096479553,2020-01-25,186.7,Check
6209923307,2021-07-05,410.6,Bank Transfer
5443254615,2020-06-25,433.5,Check
9842414729,2022-11-11,308.7,Credit Card
6827368515,2018-06-03,190.9,Bank Transfer
8351222782,2022-02-14,97.1,Bank Transfer
6677954339,2022-01-01,343.7,Credit Card
7744303708,2022-10-11,461.5,Bank Transfer
2490056820,2020-04-04,81.0,Credit Card
5217987067,2019-07-19,227.8,Check
4519356806,2018-03-04,116.9,Bank Transfer
1131383004,2020-11-11,446.0,Credit Card
3758633299,2021-04-24,388.5,Bank Transfer
6296057401,2018-07-21,384.5,Credit Card
9598980006,2019-06-16,77.4,Bank Transfer
9085185732,2018-05-18,463.4,Check
6597925149,2019-12-29,118.0,Bank Transfer
8004867726,2019-06-16,205.4,Check
1298566280,2019-09-01,480.3,Credit Card
3146624321,2022-04-09,460.8,Credit Card
5157113076,2019-11-07,416.7,Check
1629048404,2021-02-23,181.1,Credit Card
4760390973,2022-01-06,343.0,Check
7225516707,2021-01-19,315.7,Bank Transfer
6983985081,2021-11-15,493.1,Check
5980553707,2021-08-30,312.9,Credit Card
5371694837,2020-03-14,424.2,Bank Transfer
6038028440,2018-12-03,91.0,Bank Transfer
3157098196,2021-11-11,107.7,Bank Transfer
5698091148,2020-08-04,302.1,Credit Card
3785313879,2022-06-06,93.8,Bank Transfer
8155233099,2020-06-03,265.9,Credit Card
9752784850,2021-09-15,286.8,Credit Card
8988409533,2020-05-15,163.2,Credit Card
7465144773,2021-09-07,434.6,Check
9159056053,2022-05-28,486.4,Check
